lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
31129,Nafarroa Garaia,Ituren,Ituren,525,,,,,,,,,,,"0,0",,"95,09"
31130,Nafarroa Garaia,Iturmendi,Iturmendi,392,,,,,,,,,2017-06-18,,"0,0",,"46,23"
31131,Nafarroa Garaia,Itza,Iza,1.156,,,,,,,,,,,"0,0",,"13,04"
31132,Nafarroa Garaia,Itzagaondoa,Izagaondoa,180,,,,,,,,,,,"0,0",,"15,57"
31133,Nafarroa Garaia,Itzaltzu,Izalzu <> Itzaltzu,50,,,,,,,,,,,"21,0",,"16,67"
31134,Nafarroa Garaia,Jaurrieta,Jaurrieta,208,,,,,,,,,,,"0,0",,"18,72"
31135,Nafarroa Garaia,Xabier,Javier,116,,,,,,,,,,,"0,0",,"3,05"
31136,Nafarroa Garaia,Txulapain,Juslapeña,548,,,,,,,,,,,"0,0",,"24,36"
31137,Nafarroa Garaia,Labaien,Labaien,234,,,,,,,,,,,"0,0",,"96,65"
31138,Nafarroa Garaia,Lakuntza,Lakuntza,1.262,,,,,,,,,2017-06-18,,"0,0",,"69,37"
31139,Nafarroa Garaia,Lana,Lana,182,,,,,,,,,,,"21,5",,"5,81"
31140,Nafarroa Garaia,Lantz,Lantz,149,,,,,,,,,,,"25,6",,"32,50"
31141,Nafarroa Garaia,Lapoblación,Lapoblación,141,,,,,,,,,,,"0,0",,"10,05"
31142,Nafarroa Garaia,Larraga,Larraga,2.093,,,,,,,,,,,"0,0",,"3,75"
31143,Nafarroa Garaia,Larragoa,Larraona,116,,,,,,,,,,,"0,0",,"28,57"
