lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
31090,Nafarroa Garaia,Eratsun,Eratsun,160,,,,,,,,,,,"0,0"
31091,Nafarroa Garaia,Ergoiena,Ergoiena,400,,,,,,,,,,,"0,0"
31092,Nafarroa Garaia,Erroibar,Erro,809,,,,,,,,,,,"0,0"
31093,Nafarroa Garaia,Ezkaroze,Ezcároz <> Ezkaroze,329,,,,,,,,,,,"0,0"
31094,Nafarroa Garaia,Eslaba,Eslava,127,,,,,,,,,,,"0,0"
31095,Nafarroa Garaia,Espartza,Esparza de Salazar <> Espartza Zaraitzu,82,,,,,,,,,,,"0,0"
31096,Nafarroa Garaia,Esprontzeda,Espronceda,119,,,,,,,,,,,"0,0"
31097,Nafarroa Garaia,Lizarra,Estella <> Lizarra,13.695,,,,,,,,,,,"0,0"
31098,Nafarroa Garaia,Esteribar,Esteribar,2.509,,,,,,,,,,,"0,0"
31099,Nafarroa Garaia,Etaiu,Etayo,79,,,,,,,,,,,"0,0"
31100,Nafarroa Garaia,Eulate,Eulate,315,,,,,,,,,,,"0,0"
31101,Nafarroa Garaia,Ezkabarte,Ezcabarte,1.816,,,,,,,,,,,"0,0"
31102,Nafarroa Garaia,Ezkurra,Ezkurra,152,,,,,,,,,,,"0,0"
31103,Nafarroa Garaia,Ezporogi,Ezprogui,46,,,,,,,,,,,"0,0"
31104,Nafarroa Garaia,Faltzes,Falces,2.443,,,,,,,,,,,"0,0"
31105,Nafarroa Garaia,Fitero,Fitero,2.062,,,,,,,,,,,"0,0"
31106,Nafarroa Garaia,Fontellas,Fontellas,958,,,,,,,,,,,"0,0"
31107,Nafarroa Garaia,Funes,Funes,2.488,,,,,,,,,,,"0,0"
31108,Nafarroa Garaia,Fustiñana,Fustiñana,2.528,,,,,,,,,,,"0,0"
31109,Nafarroa Garaia,Galar,Galar,2.007,,,,,,,,,,,"27,1"
31110,Nafarroa Garaia,Galipentzu,Gallipienzo <> Galipentzu,115,,,,,,,,,,,"0,0"
31111,Nafarroa Garaia,Galoze,Gallués <> Galoze,97,,,,,,,,,,,"0,0"
31112,Nafarroa Garaia,Garaioa,Garaioa,95,,,,,,,,,,,"0,0"
31113,Nafarroa Garaia,Garde,Garde,161,,,,,,,,,,,"0,0"
31114,Nafarroa Garaia,Garinoain,Garínoain,495,,,,,,,,,,,"0,0"
31115,Nafarroa Garaia,Garralda,Garralda,186,,,,,,,,,,,"0,0"
31116,Nafarroa Garaia,Genevilla,Genevilla,73,,,,,,,,,,,"0,0"
